X,Y,Z,surface,group
453347.278583,6785003.768204,-1914.324707,tarbert,tarbert b
453197.278583,6783253.768204,-1891.2440190000002,tarbert,tarbert b
453097.278583,6782253.768204,-1885.2983399999998,tarbert,tarbert b
453647.278583,6781953.768204,-1797.1298829999998,tarbert,tarbert b
454247.278583,6782903.768204,-1750.399048,tarbert,tarbert b
452997.278583,6781303.768204,-1873.805298,tarbert,tarbert b
453197.278583,6781753.768204,-1847.351318,tarbert,tarbert b
453197.278583,6784153.768204,-1939.9938960000002,tarbert,tarbert b
454047.278583,6783203.768204,-1790.8498539999998,tarbert,tarbert b
453697.278583,6781853.768204,-1789.102905,tarbert,tarbert b
452297.278583,6783303.768204,-1974.23877,tarbert,tarbert b
452497.278583,6782303.768204,-1964.355469,tarbert,tarbert b
453697.278583,6781503.768204,-1782.678345,tarbert,tarbert b
453347.278583,6783503.768204,-1887.9866940000002,tarbert,tarbert b
454097.278583,6784203.768204,-1827.057495,tarbert,tarbert b
453097.278583,6783203.768204,-1916.991089,tarbert,tarbert b
453347.278583,6782453.768204,-1848.337036,tarbert,tarbert b
453347.278583,6784203.768204,-1928.964478,tarbert,tarbert b
453547.278583,6781353.768204,-1827.8068850000002,tarbert,tarbert b
453597.278583,6783303.768204,-1838.912964,tarbert,tarbert b
454097.278583,6782503.768204,-1777.5565190000002,tarbert,tarbert b
452697.278583,6781653.768204,-1892.347046,tarbert,tarbert b
453247.278583,6782953.768204,-1881.8657230000001,tarbert,tarbert b
453797.278583,6783503.768204,-1821.160889,tarbert,tarbert b
454097.278583,6785003.768204,-1875.417847,tarbert,tarbert b
453797.278583,6785553.768204,-1854.53833,tarbert,tarbert b
452447.278583,6783703.768204,-1969.1540530000002,tarbert,tarbert b
453497.278583,6782253.768204,-1822.229736,tarbert,tarbert b
453547.278583,6783203.768204,-1838.4942629999998,tarbert,tarbert b
453147.278583,6782953.768204,-1891.141235,tarbert,tarbert b
452947.278583,6784403.768204,-1959.667358,tarbert,tarbert b
452597.278583,6782453.768204,-1954.811157,tarbert,tarbert b
452847.278583,6782753.768204,-1928.586304,tarbert,tarbert b
453047.278583,6784053.768204,-1965.369873,tarbert,tarbert b
452897.278583,6781703.768204,-1862.742065,tarbert,tarbert b
453347.278583,6784203.768204,-1928.964478,tarbert,tarbert b
453297.278583,6781053.768204,-1841.204468,tarbert,tarbert b
453347.278583,6784653.768204,-1919.1184079999998,tarbert,tarbert b
452497.278583,6783803.768204,-1960.81189,tarbert,tarbert b
452947.278583,6784053.768204,-1992.961426,tarbert,tarbert b
453847.278583,6785553.768204,-1855.3819579999997,tarbert,tarbert b
452897.278583,6784453.768204,-1974.360229,tarbert,tarbert b
453797.278583,6782703.768204,-1805.121948,tarbert,tarbert b
453047.278583,6784603.768204,-1954.885864,tarbert,tarbert b
452947.278583,6781353.768204,-1882.687012,tarbert,tarbert b
453147.278583,6783703.768204,-1898.6221920000003,tarbert,tarbert b
453197.278583,6784453.768204,-1935.60437,tarbert,tarbert b
453647.278583,6781453.768204,-1792.9750980000001,tarbert,tarbert b
452797.278583,6781403.768204,-1884.550049,tarbert,tarbert b
452247.278583,6782703.768204,-1994.9233399999998,tarbert,tarbert b
453747.278583,6782003.768204,-1791.934326,tarbert,tarbert b
453297.278583,6783203.768204,-1892.008301,tarbert,tarbert b
453497.278583,6783953.768204,-1865.0614010000002,tarbert,tarbert b
453697.278583,6784103.768204,-1865.910156,tarbert,tarbert b
452647.278583,6781853.768204,-1901.185791,tarbert,tarbert b
453297.278583,6784103.768204,-1914.471313,tarbert,tarbert b
453897.278583,6782303.768204,-1796.172485,tarbert,tarbert b
453347.278583,6784003.768204,-1910.4427489999998,tarbert,tarbert b
453997.278583,6784203.768204,-1833.413086,tarbert,tarbert b
453247.278583,6784653.768204,-1925.972168,tarbert,tarbert b
452797.278583,6783353.768204,-1932.5415039999998,tarbert,tarbert b
453297.278583,6782203.768204,-1820.625366,tarbert,tarbert b
452697.278583,6782453.768204,-1945.960205,tarbert,tarbert b
453347.278583,6783153.768204,-1862.7164309999998,tarbert,tarbert b
455357.52736199996,6787405.882706,-1842.480469,tarbert,tarbert c
454907.52736199996,6787805.882706,-1881.020264,tarbert,tarbert c
454757.52736199996,6786105.882706,-1913.819214,tarbert,tarbert c
454857.52736199996,6786505.882706,-1978.387207,tarbert,tarbert c
455207.52736199996,6783805.882706,-1808.48938,tarbert,tarbert c
454707.52736199996,6784255.882706,-1886.8651120000002,tarbert,tarbert c
455407.52736199996,6789355.882706,-1912.750244,tarbert,tarbert c
454457.52736199996,6788255.882706,-1958.30603,tarbert,tarbert c
454757.52736199996,6784805.882706,-1869.763062,tarbert,tarbert c
454757.52736199996,6786105.882706,-1913.819214,tarbert,tarbert c
455107.52736199996,6784105.882706,-1818.840698,tarbert,tarbert c
454657.52736199996,6785755.882706,-1921.758301,tarbert,tarbert c
454707.52736199996,6783505.882706,-1888.211304,tarbert,tarbert c
455407.52736199996,6784655.882706,-1814.731445,tarbert,tarbert c
455607.52736199996,6785705.882706,-1837.117554,tarbert,tarbert c
455357.52736199996,6784905.882706,-1824.179688,tarbert,tarbert c
454757.52736199996,6785555.882706,-1896.788452,tarbert,tarbert c
455707.52736199996,6785655.882706,-1797.250854,tarbert,tarbert c
454757.52736199996,6783455.882706,-1885.1542969999998,tarbert,tarbert c
455407.52736199996,6785855.882706,-1851.9346920000003,tarbert,tarbert c
455007.52736199996,6788455.882706,-1910.960693,tarbert,tarbert c
455357.52736199996,6786955.882706,-1861.2045899999998,tarbert,tarbert c
455407.52736199996,6786455.882706,-1883.588257,tarbert,tarbert c
455357.52736199996,6786355.882706,-1884.764771,tarbert,tarbert c
455157.52736199996,6788555.882706,-1893.5407710000002,tarbert,tarbert c
455157.52736199996,6785405.882706,-1872.1977539999998,tarbert,tarbert c
455307.52736199996,6785255.882706,-1848.99231,tarbert,tarbert c
454957.52736199996,6787905.882706,-1862.525757,tarbert,tarbert c
455157.52736199996,6789205.882706,-1917.596436,tarbert,tarbert c
455807.52736199996,6785255.882706,-1797.234741,tarbert,tarbert c
455207.52736199996,6789155.882706,-1915.716064,tarbert,tarbert c
454957.52736199996,6784405.882706,-1861.52832,tarbert,tarbert c
455007.52736199996,6788055.882706,-1885.3647460000002,tarbert,tarbert c
455257.52736199996,6785205.882706,-1862.6821289999998,tarbert,tarbert c
454707.52736199996,6785005.882706,-1895.488525,tarbert,tarbert c
455207.52736199996,6784405.882706,-1825.4207760000002,tarbert,tarbert c
455007.52736199996,6786055.882706,-1920.527466,tarbert,tarbert c
454407.52736199996,6787505.882706,-1918.182983,tarbert,tarbert c
